StudiumID;StudentID;Studiumbeginn;Alter;Geschlecht;Studiengang;Leistungspunkte_zum_Abschluss;Kuendigungsdatum
31665432;31036857;07.07.2019;42;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;03.01.2021
31628289;31236147;07.07.2019;23;f;Fernstudium Bachelor of Arts Eventmanagement;180;03.01.2021
31686498;31261638;02.08.2019;28;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;03.01.2021
31679373;31258131;21.07.2019;43;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;01.01.2021
31685136;31260927;01.08.2019;38;f;Bachelor International Management berufsbegleitend;90;01.01.2021
31627374;31235685;19.05.2019;30;f;Bachelor Kindheitspädagogik berufsbegleitend;180;31.12.2020
31620492;31231908;08.05.2019;40;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;31.12.2020
31639644;31241871;07.07.2019;38;f;BA International Management;180;30.12.2020
31673418;31255122;13.07.2019;39;m;Betriebswirt;180;28.12.2020
31653564;27364221;24.06.2019;55;m;Fernstudium Bachelor of Arts Public Relations;180;27.12.2020
31672062;31254516;12.07.2019;24;f;Fernstudium Bachelor of Arts Public Relations;180;27.12.2020
31649313;31239540;07.06.2019;22;f;Bachelor Health Care Management berufsbegleitend;180;27.12.2020
31627929;31235967;21.06.2019;23;f;Mediendesign;180;26.12.2020
31650612;31246563;21.06.2019;23;f;Fernstudium Bachelor of Arts Pflegemanagement;180;24.12.2020
31651821;31247139;22.06.2019;25;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;23.12.2020
31646274;31244889;14.06.2019;27;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;22.12.2020
31616877;31229910;07.05.2019;49;f;Bachelor Personalmanagement berufsbegleitend;180;22.12.2020
31614435;31228686;31.05.2019;31;f;FS Mitarbeiterkurse;180;20.12.2020
31625379;31202856;16.05.2019;23;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;20.12.2020
31626678;31235292;18.05.2019;32;f;BA Luftverkehrsmanagement;180;18.12.2020
31631076;31237587;07.05.2019;32;m;Fernstudium Bachelor of Arts Modemanagement;180;18.12.2020
31644159;31243884;12.06.2019;25;f;Fernstudium Bachelor of Arts Modemanagement;180;17.12.2020
31629066;31236519;06.06.2019;25;m;FlexLearning Bachelor Modell;180;16.12.2020
31662351;31251696;07.07.2019;22;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;16.12.2020
31671255;27441030;11.07.2019;37;m;Bachelor Informatik berufsbegleitend;180;16.12.2020
31637286;31240776;07.06.2019;30;m;Fernstudium Bachelor of Arts Pflegemanagement;180;11.12.2020
31684050;31260360;30.07.2019;34;f;BA Internationales Eventmanagement;180;11.12.2020
