StudiumID;StudentID;Datum;ects_gathered
31585377;31215195;28.10.2020;8
31585377;31215195;30.10.2020;3
31585377;31215195;01.02.2021;2
31585377;31215195;05.04.2021;5
31586736;31215858;31.08.2019;5
31586736;31215858;29.11.2019;5
31586736;31215858;07.01.2020;5
31586736;31215858;13.04.2020;5
31586736;31215858;15.05.2020;5
31586736;31215858;08.06.2020;5
31586736;31215858;28.07.2020;5
31586736;31215858;09.09.2020;5
31586736;31215858;13.10.2020;5
31586736;31215858;24.11.2020;5
31586736;31215858;18.01.2021;5
31586736;31215858;02.02.2021;5
31586922;31215942;12.06.2019;5
31586922;31215942;06.11.2019;5
31586922;31215942;16.11.2019;5
31587336;31216167;11.05.2019;8
31587336;31216167;14.07.2019;5
31587336;31216167;01.09.2019;5
31587336;31216167;28.10.2019;2
31587336;31216167;18.11.2019;2
31587336;31216167;21.03.2020;5
31587336;31216167;30.03.2020;5
31587336;31216167;12.04.2020;5
31587336;31216167;13.04.2020;2
31587336;31216167;04.05.2020;5
31587336;31216167;22.06.2020;2
31587336;31216167;13.07.2020;2
31587336;31216167;10.08.2020;5
31587336;31216167;26.10.2020;5
31587336;31216167;23.11.2020;5
31587336;31216167;10.12.2020;5
31587336;31216167;04.01.2021;5
31587336;31216167;18.01.2021;5
31587591;31216293;08.07.2019;5
31587591;31216293;16.07.2019;5
31587591;31216293;20.07.2019;5
31587591;31216293;04.08.2019;5
31587591;31216293;11.08.2019;5
31587591;31216293;18.08.2019;5
31587591;31216293;21.08.2019;5
31587591;31216293;03.09.2019;5
31587591;31216293;19.09.2019;5
31587591;31216293;24.09.2019;10
31587591;31216293;04.10.2019;5
31587591;31216293;10.10.2019;5
31587591;31216293;18.10.2019;5
31587591;31216293;28.10.2019;5
31587591;31216293;02.11.2019;5
31587591;31216293;06.11.2019;5
31587591;31216293;21.11.2019;5
31587591;31216293;22.11.2019;5
31587591;31216293;27.11.2019;5
31587591;31216293;22.12.2019;5
31587591;31216293;02.01.2020;5
31587591;31216293;04.01.2020;5
31587591;31216293;09.01.2020;5
31587591;31216293;18.01.2020;5
31587591;31216293;20.01.2020;5
31587591;31216293;23.01.2020;5
31587591;31216293;16.02.2020;5
31587591;31216293;19.02.2020;5
31587591;31216293;18.03.2020;5
31587591;31216293;04.04.2020;5
31587591;31216293;07.08.2020;10
31587774;31216389;26.06.2019;5
31587774;31216389;21.10.2019;5
31587774;31216389;16.11.2019;5
31587774;31216389;29.01.2020;5
31587774;31216389;02.03.2020;5
31587774;31216389;21.07.2020;5
31587774;31216389;31.01.2021;5
31587912;31216455;23.05.2019;11
31587912;31216455;18.06.2019;5
31587912;31216455;01.07.2019;5
31587912;31216455;06.07.2019;2
